"","text","screen_name","user_id","created_at","favorite_count","retweet_count","location","followers_count","friends_count","account_lang","lang"
"1","rosé spent so much time with her family and was really that close to them. i can’t help but feel sad for her seeing that video of her in one of their world tour concert where she broke down crying on stage, she was homesick <U+0001F97A>","etherealse","925743546925170688",2021-03-18 04:46:33,0,0,"",2135,681,NA,"en"
"2","omg wait should i go to harry styles concert in august","Allisyniscool","1294087465821589504",2021-03-18 04:46:21,0,0,"USA ",115,276,NA,"en"
"3","That @Jessiereyez concert was lit. I was vibin the WHOLE time #jamesonconnects","exxsandohhhs","1292628626853318657",2021-03-18 04:46:14,0,0,"San Diego, CA",24,97,NA,"en"
"4","@Starscream35 One Spectrum concert in Philly had this gigantic floating pink pig that blocked the view of half the back balcony for the entire show. Man were they pissed. I think they had to give refunds to like three hundred people <U+0001F923>","RachelDelray","1233459807606263809",2021-03-18 04:46:10,0,0,"Tri-state area. USA",408,441,NA,"en"
"5","yesung swipe up house party mv, donghae swipe up comeback special concert watch again...","haekmei","1208745905614131201",2021-03-18 04:46:09,0,0,"donghae's tiny dimple",77,101,NA,"en"
"6","@AyakoSub the punishment is probably having to read the closing speech at the end of the concert, like in some Roselia lives","KimimaroDuong","1013624864",2021-03-18 04:46:05,0,0,"",12,491,NA,"en"
"7","Justin Bieber: Tiny Desk (Home) Concert https://t.co/xE7kvl6cIB @YouTube<U+3088><U+308A>","weeatass0730","2358167473",2021-03-18 04:45:57,0,0,"WE EAT ASS",2180,2154,NA,"en"
"8","@harrauhld_ @idle_vale @BTSOriented Eww? Delulus?! Like when she said ""meet and greet"" i already know it's fcking fake. BTS don't do meet and greets during concert","Kaypee_est","1181137480550010880",2021-03-18 04:45:56,0,0,"",13,31,NA,"en"
"9","@yukheisnanon HI BB ITS NOT UR BDAY HERE FOR ANOTHER FEW MIN BUT ILY HAPPY BIRTHDAYYYY our lil unboxing facetimes are always so fun i enjoy them a lot <U+0001F495><U+0001F495><U+0001F495> hope we can see go to another concert together in the future <U+0001F97A><U+0001F97A> hope ur bday is amazing and fun and the bestest ever","10PTAP","1255241423575810049",2021-03-18 04:45:56,0,0,"he/him <U+263E> gprb",627,547,NA,"en"
"10","does anyone know what time the tbz concert thing for kcon starts","10PTAP","1255241423575810049",2021-03-18 01:59:41,1,0,"he/him <U+263E> gprb",627,547,NA,"en"
"11","All gathering to party (NO)
Let's go to a concert (NO)

Not wearing a mask - HEY
THAT'S NONSENSE","Lilli_Reis","199502202",2021-03-18 04:45:53,0,0,"Brasil",486,516,NA,"en"
"12","Justin Bieber Peaches (Tiny Desk Concert Live) https://t.co/zoiC5XeII0 via @YouTube 
the way Im suddenly inlove w JB","Bellalemus4","869379575691726850",2021-03-18 04:45:49,0,0,"",10,82,NA,"en"
"13","Imagine BamBam being 1 of the big artists to come for his concert... hahahaha don't mind my brain thinking excessively far #<U+0E0A><U+0E48><U+0E2D><U+0E07><U+0E2A><U+0E32><U+0E21><U+0E04><U+0E23><U+0E31><U+0E1A><U+0E01><U+0E25><U+0E31><U+0E1F><U+0E21><U+0E32><U+0E41><U+0E25><U+0E49><U+0E27>","Mgmg_vm","956807693037170688",2021-03-18 04:45:41,0,0,"",2,42,NA,"en"
"14","""ad:"" Vintage Journey Concert Baseball Shirt X-Large Escape Tour 1982 https://t.co/8TryxNbFpm","XenaGifts","1362461193391255559",2021-03-18 04:14:32,0,0,"USA",69,54,NA,"en"
"15","""ad:"" Van Halen Tour Of The World 1984 Samurai Concert T-Shirt Unisex Cotton All Size https://t.co/nvjz6tyBWG","XenaGifts","1362461193391255559",2021-03-18 03:46:11,0,0,"USA",69,54,NA,"en"
"16","""ad:"" Vintage Reo Speedwagon Styx 2000 Tour T-Shirt Sz 2XL Black Concert Tee https://t.co/HCf6NJuCGq https://t.co/oBTxktUhiF","XenaGifts","1362461193391255559",2021-03-18 02:17:32,0,0,"USA",69,54,NA,"en"
"17","""ad:"" Johny Cash Vintage T shirt Women Men concert small Band tour Rare Cotton https://t.co/4vxWn4axSK https://t.co/4WeShtzbAp","XenaGifts","1362461193391255559",2021-03-17 22:51:36,0,0,"USA",69,54,NA,"en"
"18","Concert streaming site MySongbird seeks $5m in crowdfunding New rules on equity crowdfunding in the US will allow startups to raise up to $5m a year from ‘non-accredited’... - https://t.co/1KVzrg2mJN https://t.co/5DQOvC81oj","XenaGifts","1362461193391255559",2021-03-17 23:49:20,0,0,"USA",69,54,NA,"en"
"19","""ad:"" ANDRE 3000 T-SHIRT outkast vtg rap wu tang concert tour astroworld T-Shirt S-3XL https://t.co/vksozcReiv https://t.co/xkQLcvezQQ","XenaGifts","1362461193391255559",2021-03-18 02:46:37,0,0,"USA",69,54,NA,"en"
"20","""ad:"" vintage the rolling stones shirt adult large 2002 2003 world tour concert rare https://t.co/KW4wYX8HdL https://t.co/jCTCSs2bRe","XenaGifts","1362461193391255559",2021-03-17 21:28:33,0,0,"USA",69,54,NA,"en"
"21","""ad:"" Vintage 80s Robert Plant ""The Principle of Moments"" Concert Tour T-Shirt 1983 LG https://t.co/bxdDY6i463 https://t.co/amfS9rBtov","XenaGifts","1362461193391255559",2021-03-18 00:21:32,0,0,"USA",69,54,NA,"en"
"22","""ad:"" Kid Rock Rock &amp; Roll Revival tour concert t shirt https://t.co/ieNXNNKQcB https://t.co/Xpfxs2eUlX","XenaGifts","1362461193391255559",2021-03-18 00:48:33,0,0,"USA",69,54,NA,"en"
"23","""ad:"" Van Halen Rare Reprint 1981 Fair Warning Worldwide Tour Concert T-Shirt https://t.co/KdxMeXopWl","XenaGifts","1362461193391255559",2021-03-18 04:45:33,0,0,"USA",69,54,NA,"en"
"24","""ad:"" VINTAGE 1988 Ozzy Osbourne Concert T-Shirt Original ""No Rest For The Wicked"" LG https://t.co/VOq9MX4mHL https://t.co/700l08zC00","XenaGifts","1362461193391255559",2021-03-18 01:19:32,0,0,"USA",69,54,NA,"en"
"25","""ad:"" Journey Departure Vintage Album Cover Rock Band Tour Concert Merch - FREE SHIP https://t.co/zYgHCQfDXR https://t.co/8SygbKIX8p","XenaGifts","1362461193391255559",2021-03-18 01:48:12,0,0,"USA",69,54,NA,"en"
"26","""ad:"" The Rolling Stones, 1978 US Tour Tongue, Rock Band Concert Black T-shirt S-5XL https://t.co/7llvYVFwuZ https://t.co/2sLvH2uBT4","XenaGifts","1362461193391255559",2021-03-17 21:53:03,0,0,"USA",69,54,NA,"en"
"27","""ad:"" Men's Vintage George Strait Cowboy Rides Away 2014 Blue Concert T-Shirt XL https://t.co/cWWjh7kil9 https://t.co/kslmLIONkq","XenaGifts","1362461193391255559",2021-03-17 22:25:04,0,0,"USA",69,54,NA,"en"
"28","""ad:"" Melissa Etheridge Speak True Concert 1994 Shirt Vintage Size X-Large https://t.co/r7w3SWfOyR https://t.co/ysX7OGnpVn","XenaGifts","1362461193391255559",2021-03-17 23:50:06,0,0,"USA",69,54,NA,"en"
"29","@lwtxfaraway idk i was thinking he might add 2 dates at max and I was thinking mainly banglaroe ya hyd because most (good :3) concerts happen there only, even goa (sunburn yknow?) delhi kolkata toh I dont think are concert cities tbh but idk.","LUSHLWT91","1337006345183141889",2021-03-18 04:45:29,0,0,"only louis",961,397,NA,"en"
"30","@marion___EXOLMG he’s gonna have a concert <U+0001F62D><U+0001F62D><U+0001F62D> rapper Gulf Kanawut really coming thru <U+0001F920>","mewkanatouch","1257962857284530182",2021-03-18 04:45:29,0,0,"Philippines",3317,352,NA,"en"
"31","If we get it to 15M by next week instead of 10M, can we get a free online concert please? @SJofficial  15M for SUJU's 15 years. Yes? If free is impossible, maybe 15,000KRW ticket price. That's doable right?
#SUPERJUNIOR
#<U+C288><U+D37C><U+C8FC><U+B2C8><U+C5B4>","fangirlCarls","1001331926265872385",2021-03-18 04:45:27,0,0,"",438,128,NA,"en"
"32","@AskrsOtherTrio Dorothea was excited to see the concert hall as she was being led there by him.","BestGirlMari","1291473465015283712",2021-03-18 04:45:19,0,0,"",591,1117,NA,"en"
"33","@ENHYPEN_members schedule 
<U+0001F4C5> Mar 27, 2021 
<U+0001F559> 9 PM KST 
(Concert, Meet &amp; Greet) https://t.co/nMqx6kgGiY","fionna_aaa","1335829077056360448",2021-03-18 04:45:18,0,0,"<U+C5D4><U+D558><U+C774><U+D508> |fan acc",317,447,NA,"en"
"34","LOVE YOURSELF CONCERT in Fukuoka - LEMON - JUNGKOOK  

<U+0001F49C><U+0001F49C><U+0001F49C><U+0001F49C> #PurpleForBTS <U+0001F49C><U+0001F49C><U+0001F49C><U+0001F49C>
 https://t.co/6LqjX2deqf","zuyuuB","854119508797272064",2021-03-18 04:45:12,0,0,"20s | she/her",512,334,NA,"en"
