"","text","screen_name","user_id","created_at","favorite_count","retweet_count","location","followers_count","friends_count","account_lang","lang"
"1","@ucddublin care to comment about one of your full professors actively causing disruption in the central criminal courts today-one of her party Dee wall is lying to @gardainfo regarding recording in a prohibited space. #WearAMask @rtenews @Independent_ie @TheBeaconIrl https://t.co/n4DRTjOxMJ","B1KER42","3400501631",2021-03-17 20:16:12,0,5,"",43,187,NA,"en"
"2","top 10 lisa the painful party members
1- lawyer fish
2- lawyer fish
3- lawyer fish
4- lawyer fish
5- lawyer fish
6- lawyer fish
7- lawyer fish
8- lawyer fish
9- lawyer fish
10- lawyer fish","WhatIsAC","1311060998460243970",2021-03-17 20:16:12,0,0,"PAIN",17,26,NA,"en"
"3","The government banned protest in the country this week. Keir Starmer banned protest in the Labour Party last year. Don't again tell me we need to back Starmer to stop fascism.","Alex_24397","942459699915608066",2021-03-17 20:16:12,0,26,"",1005,1259,NA,"en"
"4","Didi, you are injured, we have Full Sympathy with you but what about our 130+ BJP karyakartas who were killed by your Party ? https://t.co/8QApMV5Gk2","akaXochi","48967891",2021-03-17 20:16:12,0,1675,"Texas",2697,5001,NA,"en"
"5","#BREAKING Dutch PM Rutte's party wins most seats in election: exit poll https://t.co/9mn6dcekQj - AFP | #livetube

<U+0001F534> On the scene | More information?  Send us a #livestream and get paid. 
GO LIVE - CLICK <U+0001F449> https://t.co/AYAYiX7WEv","livetubealerts","931574332408651777",2021-03-17 20:16:11,0,0,"London, UK",17,31,NA,"en"
"6","When your political party is so irrelevant that all they can run on are lies and racism, you’re a Republican.","YarosisNancy","759155531332390912",2021-03-17 20:16:11,0,94,"North Carolina, USA",31155,34149,NA,"en"
"7","@jimsciutto We knew they were lying at the time. They were not acting as professionals, but as shills for their political party.","YarosisNancy","759155531332390912",2021-03-17 20:10:23,0,144,"North Carolina, USA",31155,34149,NA,"en"
"8","@only_hens @gay_golem They want to skip the transitionary peroid  and go straight from capitalism to a stateless classless society. Basically they think the idea of a vanguard party or a dictatorship of the proletariat are evil unnecessary things","songforacarter","256115562",2021-03-17 20:16:11,0,0,"Portland, OR",1899,585,NA,"en"
"9","@therealTimsim @Tim_Burgess @joydivision @LlSTENlNG_PARTY @KCMANC We are doing the 9 studio tracks + the cover of Sister Ray. I’ll then introduce the live show section and leave you all to it...","Tim_Burgess","19429176",2021-03-17 20:16:11,0,1,"",247247,764,NA,"en"
"10","MEP @anjahazekamp of the Dutch @PartijvdDieren urges @EU_Commission to step up measures to protect #marine #wildlife like dolphins and turtles -and- fish populations.

<U+0001F449>Watch her speech and read more (in 13 languages): https://t.co/XujWnFlfZo

#teamplanet #animalpolitics #PlanB https://t.co/JN2xia4FOd","Afterstorm13","1243221728148496388",2021-03-17 20:16:11,0,9,"",824,2092,NA,"en"
"11","@juliedepo @jforger @NYGovCuomo Protection against lawsuits was written into the order for a reason. They knew as well as we did what was going to happen. “The party told you to reject the evidence of your eyes and ears. It was their final and most essential command.” - 1984 https://t.co/CuP0UcjyQd","ASpackler","1178332063713378304",2021-03-17 20:16:11,0,0,"Bushwood Country Club",47,159,NA,"en"
"12","Put my little red party dress on
Everybody knows that I'm a mess, I'm crazy, yeah","mal1yuda","122878372",2021-03-17 20:16:11,0,1,"",267,408,NA,"en"
"13","What programme will you apply for if you have HK$5,000 for further education? 

HK's largest pro-BJ political party DAB rolled out this class on ""philosophies of governance and politics"" for interested applicants who must ""agree with the idea of patriotism and love for HK"". https://t.co/MBVHzx82u6","Vincent69391038","1162684241819234304",2021-03-17 20:12:34,0,177,"",289,737,NA,"en"
"14","Telecommunications companies with ties to the Chinese Communist Party, like Huawei, are a threat to our national security. I’m glad to see the FCC is continuing to take this threat seriously and has designated them as the risks they are. https://t.co/ghpR6khuWn","Vincent69391038","1162684241819234304",2021-03-17 20:16:08,0,282,"",289,737,NA,"en"
"15","Because it's true. The Chinese Communist Party is a generational threat to democracy. As a new member of the House Intel Committee, I look forward to confronting the malign actions of the #CCP as a matter of national security. https://t.co/aLnYkAlsXj","Vincent69391038","1162684241819234304",2021-03-17 20:16:11,0,305,"",289,737,NA,"en"
"16","“Let us demonstrate our repudiation of China’s abuses in a way that will hurt the Chinese Communist Party rather than our American athletes,” @MittRomney writes. “Reduce China’s revenues, shut down their propaganda, and expose their abuses.” https://t.co/lnwAH5ACal","Vincent69391038","1162684241819234304",2021-03-17 20:13:34,0,178,"",289,737,NA,"en"
"17","Sir Alex Younger expects ""China’s Communist Party to double down on its ideology in the future"" https://t.co/ZYNLfuVAtA","Vincent69391038","1162684241819234304",2021-03-17 20:14:00,0,181,"",289,737,NA,"en"
"18","The STRATEGIC Act will help the United States meet the monumental diplomatic, economic, military, and technological challenges posed by the Chinese Communist Party with a comprehensive strategy. https://t.co/tD9V1QgKpo","Vincent69391038","1162684241819234304",2021-03-17 20:13:22,0,171,"",289,737,NA,"en"
"19","What an horrific state of affairs.
Obviously a small minority of the total but to be fair what are the nos in the Tory party?
However, if it was anywhere near this total, certain it would be widely reported in the MSM.
@BBCNews 
@SkyNews 
@BBCNewsnight 
@Iromg 
@NickFerrariLBC https://t.co/tEzOWJcdgp","uisdeann","201679843",2021-03-17 20:16:10,0,10,"",280,196,NA,"en"
"20","West Bengal Bharatiya Janata Party (BJP) has filed a complaint with Election Commission ""against TMC leader Anubrata Mondol and party workers for causing the cold-blooded murder of BJP worker &amp; creating an atmosphere of fear."" https://t.co/uoUVUelL0r","lakun_gaurav","1111301625707200518",2021-03-17 20:16:10,0,107,"",302,924,NA,"en"
"21","@Falsifiablility @maddoxrules I've read about the history. Spain was the only concerned party not in WWI, and so were the only country to not have an incentive to suppress the fact they had it","trailer_parker","35974861",2021-03-17 20:16:10,0,0,"Dallas, TX",331,193,NA,"en"
"22","When my divorce finalizes I’m throwing myself a party <U+0001F602>","lili_pl_","971081286025560064",2021-03-17 20:16:10,0,2,"",38,34,NA,"en"
"23","There were already talks between the 3-party coalition suggesting removal of PBS back in October. Meetings took place but they still stood up for him. Why now? Rattled after SV's arrest by @NIA_India ? <U+0001F923>

Probe Parambir 4 SSR","cassiopeia_5311","1276541144587882496",2021-03-17 20:16:09,0,40,"Messier 52",2609,1979,NA,"en"
"24","Parambir Singh was against CBI investigation , he also told tht MP have CCTV footages of  13th nd 14th June but denied the statement of several ppl claiming tht there was a party before SSR death also help in destroying the crucial evidences 
CBI Must <U+0001F447>

Probe Parambir 4 SSR","cassiopeia_5311","1276541144587882496",2021-03-17 20:09:05,0,62,"Messier 52",2609,1979,NA,"en"
"25","Wizkid got a BIG win at the #GRAMMYs!! @wizkidayo  won BEST MUSIC VIDEO for ""BROWN SKIN GIRL"" with Beyonce and Blue Ivy <U+0001F976> Check out our exclusive behind the scenes video of the ""Made in Lagos"" Album Release Party #STEELO #Wizkid #Wizkidfc #MadeinLagos 

https://t.co/FnmLxrdlje https://t.co/R6N5i7b2JZ","iso_dee__","878885680755204096",2021-03-17 20:16:09,0,103,"England, United Kingdom",415,410,NA,"en"
"26","@cato_theelder @AtakinMarcus @OwenJones84 @UKLabour @annaturley @LauraPidcock @JennyChapman @PaulWilliamsLAB Yes, I'm a member of a political party called shut up and get blocked.","SocialistCrow","1118049866",2021-03-17 20:16:09,0,0,"England, United Kingdom",1220,2014,NA,"en"
"27","In today's Democrat Party there is a hierarchy of victims and some victims trump other victims.

The Equality Act reflects the radical Democrats' war on women. https://t.co/FZtLW2BJ9t","SmithSeigel1","1353662752062136321",2021-03-17 20:16:09,0,165,"Phoenix Arizona  ",237,480,NA,"en"
"28","Feels sort of like an unofficial bookend of the tea party rise. https://t.co/Iss3ONOmlm","SmithSeigel1","1353662752062136321",2021-03-17 20:15:23,0,83,"Phoenix Arizona  ",237,480,NA,"en"
"29","@Humble_Ecards We sincerely apologise for the inconveniences, we've enabled phone number, WhatsApp and telegram contacts of the other party when you create an order, please send us a dm so we can follow up on this for you.","BundleAfrica","1163866808555888642",2021-03-17 20:16:09,0,0,"",7402,39,NA,"en"
"30","@DonaldJTrumpJr @JohnKerry @JoeBiden @AmericanAir Democrats is cheating party","Peter46375656","1320569278882406402",2021-03-17 20:16:09,0,0,"",15,41,NA,"en"
"31","“Pork barrelling” is misappropriating taxpayers’ funds to enhance a political party’s constituent support. It is a perversion of the public interest = corrupt. MPs/ministers laugh this off as merely exploiting the spoils of elected office. <U+2066>@crikey_news<U+2069> Dirty Australia https://t.co/A6IjDUdQzR","PrueBardsley","1514621460",2021-03-17 20:16:08,0,97,"New South Wales, Australia",976,3512,NA,"en"
"32","You all need to expose the deep links between the UK Conservative party and the CCP, their China group here led by Sheela Macintosh, Jackson Ng, Johnny Luk and MPs like Sir Geoff Clifton Brown including Stanley Johnson are deeply involved in keeping CCP influence in the Tories. https://t.co/VUteGlVRaV https://t.co/Cegj1Sr22C","WolfofWestmins3","1366084009021833218",2021-03-17 20:16:08,0,0,"",29,136,NA,"en"
"33","BUYING PARTY IS HAPPENING NOW! POST YOUR RECEIPTS FROM TODAY BELOW <U+2B07><U+FE0F>","CARDIxTOWN","1247332871087575040",2021-03-17 20:16:08,0,9,"he/him",11285,8007,NA,"en"
"34","So my point is this word blancmange from the PM implying the Labor Party and the Greens should have stopped a garden variety stalker who claimed  not to be a member of either organisation? Is at best dubious and at worst some next level BS https://t.co/TWW9BSyXLm https://t.co/ITvFkiBRwb","Forthleft3","821192098946789377",2021-03-17 20:16:08,0,412,"Tinonee, New South Wales",1282,1755,NA,"en"
"35","SUJU HOUSE PARTY RT 
THE HOUSE PARTY IS HERE
SUPER JUNIOR HOUSE PARTY

#<U+C288><U+C8FC><U+C640>_<U+C5D8><U+D504><U+C758>_<U+D558><U+C6B0><U+C2A4>_<U+D30C><U+D2F0>

#SUPERJUNIOR #HouseParty @SJofficial https://t.co/cy78RPdBAt https://t.co/wrxiLJHj8W","BabyKyu1106","1278783588067139587",2021-03-17 20:16:08,0,0,"",848,817,NA,"en"
"36","The Tories are the republican party. Remember that. Boris is our Trump.  Don't forget that.  #BrexitShambles #covidshambles #Vaccineshambles #BorisHasFailedTheNation #BorisJohnsonMustGo","botanic_my","1092800759517855745",2021-03-17 20:16:08,0,1,"",968,12,NA,"en"
"37","@bencbartlett Would ideally be throwing a pizza party right about now but alas a global plague can spoil those plans","GuilleAngeris","288630481",2021-03-17 20:16:08,0,0,"United States",1643,307,NA,"en"
"38","Holy moly! Exit poll suggests liberal D66 to become easily the second largest party in the Netherlands https://t.co/CHvGpq5Ubw","JonasVevatne","1342246146",2021-03-17 20:16:08,0,33,"Heggedal",2334,3252,NA,"en"
"39","Canadian group echoes China’s party line on Uyghurs after getting $160,000 in public funds https://t.co/d2l5esuOYR https://t.co/lNopDHJMXV","VincentHearne","3055699439",2021-03-17 20:16:08,0,3,"",1053,610,NA,"en"
"40","@joesmith628 @atrupar We should post ""This was domestic terrorism perpetrated by a white supremacist who was radicalized by the previous president and the rhetoric of the Republican party."" On their page, on Fox's pages, everywhere. Me doing it alone won't be as effective.","eloisecommaille","83143648",2021-03-17 20:16:08,0,78,"",42,291,NA,"en"
"41","@SenToddYoung @POTUS @HHSGov I remember when Todd was concerned about Trump’s heinously unqualified lackeys filled his cabinet. Wait- he wasn’t at all because Tood is a partisan <U+0001F921> who puts party over people. Fire Todd in ‘22: https://t.co/TyQ4XveSWE","colby_giffen","975897008711094272",2021-03-17 20:16:07,0,0,"Pascagoula, MS",132,139,NA,"en"
"42","I was mistaken this Equal Rights Amendment vote is still ongoing in the house. Several Republicans have crossed party lines to support removing the Deadline for The Equal Rights Amendment and supporting women’s rights.","SherryNicopoli2","876808869313470465",2021-03-17 20:09:39,0,87,"",334,309,NA,"en"
"43","So when all the bluster &amp; incessant lying are set aside, we now know that the entire GOP/GQP has sold our country out to the Russians, not just Shitler, Ron Johnson, Gym Jordon, Ted Cruz, McConnell &amp; Co. The whole freaking Party now works for the old communist KGB thug Putin.","SherryNicopoli2","876808869313470465",2021-03-17 20:16:07,0,255,"",334,309,NA,"en"
"44","Biggest party @VVD <U+0001F4AA><U+0001F3FB>

Biggest winner @D66 <U+270A><U+0001F3FB>

<U+27A1><U+FE0F> Liberals who govern &amp; stay in character win ! #TK2021

<U+0001F483><U+0001F3FC> Congrats ! <U+0001F57A>","replayNIKO","2856759311",2021-03-17 20:16:07,0,9,"",1769,1160,NA,"en"
"45","yall always like “angry? go mass vote” so it’s my turn now. angry? go mass stream hyunjin’s contents. go stream little star and his when the party’s over &amp; criminal covers and watch his vlogs","hyosjongin","3142344002",2021-03-17 20:16:07,0,2,"she/her <U+2740> nsfw sometimes",1746,654,NA,"en"
"46","The SDP wants to give the people of Hartlepool the electoral choice they've been denied so far: a patriotic and culturally traditional party that believes in investing in industry and community.

Read about our principles in the SDP's ""New Declaration"" <U+0001F447>

https://t.co/lBd6D7ZwJG","DrTEB","14368178",2021-03-17 20:16:07,0,1,"Ealing, London",1660,572,NA,"en"
"47","@FalseFlag32 @dawg1888 I could see them taking part, they take part wholeheartedly in ""northern Ireland assembly"" can you not see the irony in your argument?.

As for vote 6C SF are heading down the SDLP route sure here's proof.

(Disclaimer i don't support vote for SDLP or any 6C party).. https://t.co/iWLqSzxiOV","pauldelaney2012","851126034",2021-03-17 20:16:07,0,0,"béal Feirste.. Ireland ",2948,2161,NA,"en"
"48","Its @zJonnnn Birthday!! Come check out his stream! We're having a laugh on party games haha https://t.co/7hGJhMfRWE #Twitch #Birthday","WeeNukeGames","362582485",2021-03-17 20:16:06,0,0,"Aberdeen, Scotland",86,187,NA,"en"
"49","The Turkish authorities' removal of #OmerFarukGergerlioglu's parliamentary immunity and attempt to ban the Peoples’ Democratic Party #HDP threaten political freedom and pluralism in #Turkey. Read our full statement here: https://t.co/NsOgtNB3F8","ilhandogus","310508458",2021-03-17 20:16:06,0,2,"Berlin, Deutschland",4991,4099,NA,"en"
"50","@jerry_puleng @GcumeA @Action4SA @HermanMashaba Politics is a popularity contest you go where the spotlight shines brightest with least controversy n you get maximum mileage for your party's exposure. Simple.","TradeCo7","1296765889635856385",2021-03-17 20:16:06,0,0,"",43,45,NA,"en"
"51","The Labour Party - “Under the Tories, rape has effectively been decriminalised.”

Also  the Labour Party - Ignored the rape of thousands of children who were used as sex slaves by grooming gangs all over the UK.","KenwHordon","1048409659",2021-03-17 20:16:05,0,261,"Whitby, North Yorkshire   Phot",3426,4276,NA,"en"
"52","I'm sure i'm late to the party but i'll be streaming #CallOfTheSea later. I'm no good at puzzles so you can join me soon to laugh at my ineptness","jyrden","242839610",2021-03-17 20:16:05,0,0,"Sussex, UK",92,538,NA,"en"
"53","If you're playing party politics, then you have been distracted as planned, by those who choose to spread oppression to others. - #Cagsil","Cagsil","117265333",2021-03-17 20:16:05,0,0,"USA",6488,134,NA,"en"
"54","@MayorofLondon When is the Labour Party being prosecuted then? https://t.co/tgeB47uoHS","AltNewsMedia","888446019297570816",2021-03-17 20:16:04,0,0,"Global",24613,248,NA,"en"
"55","""Yesterday was a really bad day for him"" is the excuse you make when your party encounters a rather annoyed Owlbear on the outskirts of Scornubel. 

It is not what you say when discussing the actions of a murderer who intentionally targeted an Asian business with no regrets. https://t.co/lEpip1JWCS","BoriqueerReads","1290375067524882438",2021-03-17 20:16:04,0,1,"Brooklyn, NY",363,673,NA,"en"
"56","Not long until we’re all reunited. 60 prime destinations for a group night out in London @puttshack_uk @TheGrandClapham https://t.co/0TGIaVTOOb https://t.co/FGSeKl7l0X","SuaveShaun","1005893773979766784",2021-03-17 20:16:04,0,2,"",99,181,NA,"en"
